SP_ENTITY_NAME,SP_ENTITY_ID,SP_CIQ_ID,IQ_TOTAL_REV_Y,IQ_TOTAL_REV_Q,IQ_TOTAL_REV_FY2025,IQ_TOTAL_REV_FQ12026,IQ_TOTAL_REV_FQ42025,IQ_TOTAL_REV_FQ32025,IQ_TOTAL_ASSETS_Y,IQ_TOTAL_ASSETS_Q,IQ_TOTAL_ASSETS_FY2025,IQ_TOTAL_ASSETS_FQ12026,IQ_TOTAL_ASSETS_FQ42025,IQ_TOTAL_ASSETS_FQ32025,IQ_TOTAL_LIAB_Y,IQ_TOTAL_LIAB_Q,IQ_TOTAL_LIAB_FY2025,IQ_TOTAL_LIAB_FQ12026,IQ_TOTAL_LIAB_FQ42025,IQ_TOTAL_LIAB_FQ32025,IQ_TOTAL_LIAB_TOTAL_ASSETS_Y,IQ_TOTAL_LIAB_TOTAL_ASSETS_Q,IQ_TOTAL_LIAB_TOTAL_ASSETS_FY2025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ12026,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ42025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ32025,SP_CURRENT_ASSETS_Y,SP_CURRENT_ASSETS_Q,SP_CURRENT_ASSETS_FY2025,SP_CURRENT_ASSETS_FQ12026,SP_CURRENT_ASSETS_FQ42025,SP_CURRENT_ASSETS_FQ32025,IQ_TOTAL_CL_Y,IQ_TOTAL_CL_Q,IQ_TOTAL_CL_FY2025,IQ_TOTAL_CL_FQ12026,IQ_TOTAL_CL_FQ42025,IQ_TOTAL_CL_FQ32025,IQ_TOTAL_DEBT_Y,IQ_TOTAL_DEBT_Q,IQ_TOTAL_DEBT_FY2025,IQ_TOTAL_DEBT_FQ12026,IQ_TOTAL_DEBT_FQ42025,IQ_TOTAL_DEBT_FQ32025,IQ_TOTAL_EQUITY_Y,IQ_TOTAL_EQUITY_Q,IQ_TOTAL_EQUITY_FY2025,IQ_TOTAL_EQUITY_FQ12026,IQ_TOTAL_EQUITY_FQ42025,IQ_TOTAL_EQUITY_FQ32025,IQ_CURRENT_RATIO_Y,IQ_CURRENT_RATIO_Q,IQ_CURRENT_RATIO_FY2025,IQ_CURRENT_RATIO_FQ12026,IQ_CURRENT_RATIO_FQ42025,IQ_CURRENT_RATIO_FQ32025,IQ_QUICK_RATIO_Y,IQ_QUICK_RATIO_Q,IQ_QUICK_RATIO_FY2025,IQ_QUICK_RATIO_FQ12026,IQ_QUICK_RATIO_FQ42025,IQ_QUICK_RATIO_FQ32025,IQ_CASH_EQUIV_Y,IQ_CASH_EQUIV_Q,IQ_CASH_EQUIV_FY2025,IQ_CASH_EQUIV_FQ12026,IQ_CASH_EQUIV_FQ42025,IQ_CASH_EQUIV_FQ32025,IQ_RETAINED_EARNINGS_Y,IQ_RETAINED_EARNINGS_Q,IQ_RETAINED_EARNINGS_FY2025,IQ_RETAINED_EARNINGS_FQ12026,IQ_RETAINED_EARNINGS_FQ42025,IQ_RETAINED_EARNINGS_FQ32025,IQ_EBIT_Y,IQ_EBIT_Q,IQ_EBIT_FY2025,IQ_EBIT_FQ12026,IQ_EBIT_FQ42025,IQ_EBIT_FQ32025,IQ_AR_RE_Y,IQ_AR_RE_Q,IQ_AR_RE_FY2025,IQ_AR_RE_FQ12026,IQ_AR_RE_FQ42025,IQ_AR_RE_FQ32025,IQ_TOTAL_RECEIV_Y,IQ_TOTAL_RECEIV_Q,IQ_TOTAL_RECEIV_FY2025,IQ_TOTAL_RECEIV_FQ12026,IQ_TOTAL_RECEIV_FQ42025,IQ_TOTAL_RECEIV_FQ32025,IQ_OPER_INC_RE_Y,IQ_OPER_INC_RE_Q,IQ_OPER_INC_RE_FY2025,IQ_OPER_INC_RE_FQ12026,IQ_OPER_INC_RE_FQ42025,IQ_OPER_INC_RE_FQ32025,IQ_NET_INC_PARENT_Y,IQ_NET_INC_PARENT_Q,IQ_NET_INC_PARENT_FY2025,IQ_NET_INC_PARENT_FQ12026,IQ_NET_INC_PARENT_FQ42025,IQ_NET_INC_PARENT_FQ32025,IQ_GP_Y,IQ_GP_Q,IQ_GP_FY2025,IQ_GP_FQ12026,IQ_GP_FQ42025,IQ_GP_FQ32025,IQ_WORKING_CAP_Y,IQ_WORKING_CAP_Q,IQ_WORKING_CAP_FY2025,IQ_WORKING_CAP_FQ12026,IQ_WORKING_CAP_FQ42025,IQ_WORKING_CAP_FQ32025,SP_MARKETCAP_Current,SP_PRICE_OPEN_Current,SP_PRICE_HIGH_Current,SP_PRICE_LOW_Current,SP_HEADCOUNT_LATEST,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,IQ_TOTAL_EMPLOYEES_Y,IQ_TOTAL_EMPLOYEES_Q,IQ_TOTAL_EMPLOYEES_FY2025,IQ_TOTAL_EMPLOYEES_FQ12026,IQ_TOTAL_EMPLOYEES_FQ42025,IQ_TOTAL_EMPLOYEES_FQ32025,REG_CEO_CHANGE_MRY,REG_CEO_CHANGE_MRQ,REG_CEO_CHANGE_2025Y,REG_CEO_CHANGE_2026Q1,REG_CEO_CHANGE_2025Q4,REG_CEO_CHANGE_2025Q3,IQ_AUDITOR_NAME_Y,IQ_AUDITOR_NAME_Q,IQ_AUDITOR_NAME_FY2025,IQ_AUDITOR_NAME_FQ12026,IQ_AUDITOR_NAME_FQ42025,IQ_AUDITOR_NAME_FQ32025,SP_FITCH_LT_CREDIT_RATING,SP_FITCH_LT_RATING_EFFECTIVE_ DATE,SP_FITCH_LT_RATING_CREDIT_WATCH_OUTLOOK,RD_CREDIT_RATING_GLOBAL_Issuer Credit Rating,RD_CREDIT_RATING_DATE_GLOBAL_Issuer Credit Rating,RD_CWOL_GLOBAL_Issuer Credit Rating,RD_CREDIT_WATCH_OUTLOOK_DATE_GLOBAL_Issuer Credit Rating,IQ_EBITDA_Y,IQ_EBITDA_Q,IQ_EBITDA_FY2025,IQ_EBITDA_FQ12026,IQ_EBITDA_FQ42025,IQ_EBITDA_FQ32025
"Annaly Capital Management, Inc. (NYSE:NLY)",113558,IQ382914,2381702,363890,2381702,363890,1076101,903871,135609838,138537591,135609838,138537591,135609838,125861572,119449927,122211780,119449927,122211780,119449927,110864993,88.084,88.216,88.084,88.216,88.084,88.085,,,,,,,86976077,87685206,86976077,87685206,86976077,81098680,116275737,119637576,116275737,119637576,116275737,107250686,16159911,16325811,16159911,16325811,16159911,14996579,0.462,0.519,0.462,0.519,0.462,0.454,0.443,0.501,0.443,0.501,0.443,0.432,354779,366669,354779,366669,354779,320347,-13157325,-13429615,-13157325,-13429615,-13157325,-13626983,,,,,,,,,,,,,38015908,43136391,38015908,43136391,38015908,34665959,,,,,,,2027262,282652,2027262,282652,1013494,832445,2321429,347310,2321429,347310,1059616,888767,-46772409,-42207748,-46772409,-42207748,-46772409,-44253122,16377.54871815,22.7,24.52,18.4284,221,,,1,212,,212,,212,,,,,,,,Ernst & Young LLP,,Ernst & Young LLP,,Ernst & Young LLP,,,,,,,,,,,,,,
EPR Properties (NYSE:EPR),113645,IQ171106,713961,180382,713961,,180382,185144,5699762,5699762,5699762,,5699762,5543897,3364559,3364559,3364559,,3364559,3209083,59.03,59.03,59.03,,59.03,57.885,,,,,,,123407,123407,123407,,123407,135936,3134158,3134158,3134158,,3134158,2971656,2335203,2335203,2335203,,2335203,2334814,1.617,1.617,1.617,,1.617,1.147,1.528,1.528,1.528,,1.528,0.782,90577,90577,90577,,90577,13710,,,,,,,381048,95449,381048,,95449,101989,94916,94916,94916,,94916,85165,100565,100565,100565,,100565,95202,381048,95449,381048,,95449,101989,274936,66904,274936,,66904,66586,654789,165520,654789,,165520,170666,76101,76101,76101,,76101,19951,4226.82169,55.14,62.08,48.105,36,,,0,54,54,54,,54,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,KPMG LLP - Klynveld Peat Marwick Goerdeler,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,BB+,2020-10-12 12:33:28,Stable,2021-08-05 10:49:34,549884,138950,549884,,138950,144317
Net Lease Office Properties (NYSE:NLOP),114275788,IQ1856825577,105915,17744,105915,,17744,29784,453371,453371,453371,,453371,522551,155546,155546,155546,,155546,88331,34.309,34.309,34.309,,34.309,16.904,,,,,,,77826,77826,77826,,77826,63688,22091,22091,22091,,22091,47120,297825,297825,297825,,297825,434220,2.114,2.114,2.114,,2.114,0.646,2.075,2.075,2.075,,2.075,0.607,119621,119621,119621,,119621,38689,,,,,,,27112,770,27112,,770,11163,41878,41878,41878,,41878,,41878,41878,41878,,41878,,27112,770,27112,,770,11163,-145262,-53,-145262,,-53,-64161,92750,14801,92750,,14801,26730,86684,86684,86684,,86684,-22557,198.06418275,13.1,34.53,11.235,,,,,,,,,,,,,,,,,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,65913,13604,65913,,13604,20207
Bowhead Specialty Holdings Inc. (NYSE:BOW),117245140,IQ1877970871,551589,151678,551589,,151678,143932,2371376,2371376,2371376,,2371376,2094549,1922102,1922102,1922102,,1922102,1663512,81.054,81.054,81.054,,81.054,79.421,,,,,,,639148,639148,639148,,639148,618507,149431,149431,149431,,149431,3300,449274,449274,449274,,449274,431037,1.445,1.445,1.445,,1.445,1.414,0.44,0.44,0.44,,0.44,0.432,193545,193545,193545,,193545,197855,116695,116695,116695,,116695,101852,74790,20783,74790,,20783,20975,,,,,,,87488,87488,87488,,87488,69449,,,,,,,53786,14843,53786,,14843,15176,177054,47424,177054,,47424,46812,284565,284565,284565,,284565,256048,764.4694548,24.08,41.98,21.21,230,,,0,296,296,296,,296,,,,,,,,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,76415.333,21245,76415.333,,21245,21437
Seaport Entertainment Group Inc. (NYSE:SEG),117775978,IQ1881924070,132761,29727,132761,,29727,46212,650122,650122,650122,,650122,699074,183715,183715,183715,,183715,203333,28.259,28.259,28.259,,28.259,29.086,249188,249188,249188,,249188,146263,80843,80843,80843,,80843,32043,94875,94875,94875,,94875,95605,466407,466407,466407,,466407,495741,3.082,3.082,3.082,,3.082,4.565,1.051,1.051,1.051,,1.051,3.622,77808,77808,77808,,77808,106215,-168402,-168402,-168402,,-168402,-131536,-90361,-26056,-90361,,-26056,-17248,3320,3320,3320,,3320,4513,7149,7149,7149,,7149,9856,-90361,-26056,-90361,,-26056,-17248,-115342,-36516,-115342,,-36516,-32864,-26984,-10713,-26984,,-10713,-1385,168345,168345,168345,,168345,114220,287.9149559,22.29,28.34,17.2758,97,,,-4,627,627,627,,627,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,KPMG LLP - Klynveld Peat Marwick Goerdeler,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,,,,,-58171,-15469,-58171,,-15469,-10317
"Lineage, Inc. (NASDAQGS:LINE)",118457377,IQ1885758986,5355000,1336000,5355000,,1336000,1377000,19185000,19185000,19185000,,19185000,19197000,9942000,9942000,9942000,,9942000,9812000,51.822,51.822,51.822,,51.822,51.112,,,,,,,1548000,1548000,1548000,,1548000,1291000,8129000,8129000,8129000,,8129000,8250000,9243000,9243000,9243000,,9243000,9385000,0.8,0.8,0.8,,0.8,0.993,0.621,0.621,0.621,,0.621,0.737,66000,66000,66000,,66000,74000,-2439000,-2439000,-2439000,,-2439000,-2325000,246000,69000,246000,,69000,69000,896000,896000,896000,,896000,857000,896000,896000,896000,,896000,857000,246000,69000,246000,,69000,69000,-100000,6000,-100000,,6000,-100000,1722000,431000,1722000,,431000,445000,-309000,-309000,-309000,,-309000,-9000,8015.78640992,36.85,48.7176,31.33,4737,,,0,24000,24000,24000,,24000,,,,,,,,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,1141000,298000,1141000,,298000,299000
"Sunrise Realty Trust, Inc. (NASDAQCM:SUNS)",118742517,IQ1872462814,19542.378,3586.657,19542.378,,3586.657,6250.031,310228.264,310228.264,310228.264,,310228.264,258831.482,128265.883,128265.883,128265.883,,128265.883,74219.911,41.346,41.346,41.346,,41.346,28.675,,,,,,,128265.883,128265.883,128265.883,,128265.883,74219.911,122000,122000,122000,,122000,67150,181962.381,181962.381,181962.381,,181962.381,184611.571,2.419,2.419,2.419,,2.419,3.487,2.413,2.413,2.413,,2.413,3.473,6445.328,6445.328,6445.328,,6445.328,5547.368,-4917.318,-4917.318,-4917.318,,-4917.318,-2520.721,,,,,,,,,,,,,303047.706,303047.706,303047.706,,303047.706,252205.381,,,,,,,12142.409,1629.699,12142.409,,1629.699,4054.959,19542.378,3586.657,19542.378,,3586.657,6250.031,181962.381,181962.381,181962.381,,181962.381,184611.571,101.53260905,7.63,11.78,7.37,,,,,,,,,,,,,,,,,CohnReznick LLP,CohnReznick LLP,CohnReznick LLP,,CohnReznick LLP,,,,,,,,,,,,,,
Curbline Properties Corp. (NYSE:CURB),120287908,IQ1860584814,182893,57987,182893,57987,54149,48647,2469790,2621099,2469790,2621099,2469790,2445290,556320,721832,556320,721832,556320,521771,22.525,27.539,22.525,27.539,22.525,21.338,,,,,,,63614,57573,63614,57573,63614,65497,426008,596570,426008,596570,426008,396442,1913470,1899267,1913470,1899267,1913470,1923519,5.284,6.096,5.284,6.096,5.284,7.376,5.243,6.007,5.243,6.007,5.243,7.321,289553,305778,289553,305778,289553,430112,,,,,,,30618,7621,30618,7621,10002,8965,22514,24156,22514,24156,22514,21099,43971,40086,43971,40086,43971,49374,30618,7621,30618,7621,10002,8965,39829,3563,39829,3563,9541,9346,136948,42903,136948,42903,41704,36007,272523,293370,272523,293370,272523,417604,2880.16869776,27.16,28.94,21.62,,,,,39,,39,,39,,,,,,,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,103026,33280,103026,33280,32131,28742
"Freedom Holding, Inc.",12244781,IQ244779267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Millrose Properties, Inc. (NYSE:MRP)",124598520,IQ1900389437,600461,189501,600461,,189501,179260,9258107,9258107,9258107,,9258107,9023737,3401845,3401845,3401845,,3401845,3165421,36.744,36.744,36.744,,36.744,35.079,,,,,,,172446,172446,172446,,172446,140160,2125062,2125062,2125062,,2125062,1979171,5856262,5856262,5856262,,5856262,5858316,53.563,53.563,53.563,,53.563,64.224,0.203,0.203,0.203,,0.203,2.146,35046,35046,35046,,35046,242578,-18485,-18485,-18485,,-18485,-16220,486068,160737,486068,,160737,152836,,,,,,,328999,328999,328999,,328999,398637,486068,160737,486068,,160737,152836,404824,122238,404824,,122238,105060,512710,161709,512710,,161709,153365,9064294,9064294,9064294,,9064294,8861486,4905.40333635,30.2,36,25.22,,,,,,,,,,,,,,,,,Deloitte & Touche LLP,Deloitte & Touche LLP,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,BB,2025-08-04 10:45:24,Stable,2025-08-04 10:45:24,,,,,,
"Claros Mortgage Trust, Inc. (NYSE:CMTG)",12744921,IQ325192855,-311859,-173960,-311859,,-173960,12424,4721759,4721759,4721759,,4721759,5441527,3189864,3189864,3189864,,3189864,3692716,67.557,67.557,67.557,,67.557,67.862,,,,,,,8774,8774,8774,,8774,8733,3145027,3145027,3145027,,3145027,3645900,1531895,1531895,1531895,,1531895,1748811,NM,NM,NM,,NM,NM,NM,NM,NM,,NM,NM,173186,173186,173186,,173186,339518,-1222391,-1222391,-1222391,,-1222391,-1003180,,,,,,,,,,,,,3615401,3615401,3615401,,3615401,4213170,,,,,,,-489069,-219211,-489069,,-219211,-9528,-380334,-195335,-380334,,-195335,-6065,3797412,3797412,3797412,,3797412,4588767,353.35128528,2.67,3.99,2.045,,,,,,,,,,,,,,,,,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,NR,2026-02-04 14:57:14,NR,2026-02-04 14:57:14,,,,,,
Snowline Gold Corp. (TSX:SGD),13087181,IQ573724857,,,,,,,95437.4467472031,95437.4467472031,95437.4467472031,,95437.4467472031,104613.879757357,5878.00411270793,5878.00411270793,5878.00411270793,,5878.00411270793,11875.3928861487,6.159,6.159,6.159,,6.159,11.352,78746.4167883328,78746.4167883328,78746.4167883328,,78746.4167883328,87940.5810790328,5099.24222471152,5099.24222471152,5099.24222471152,,5099.24222471152,11104.9695219078,162.236711573636,162.236711573636,162.236711573636,,162.236711573636,171.913072790592,89559.4426344951,89559.4426344951,89559.4426344951,,89559.4426344951,92738.4868712086,15.443,15.443,15.443,,15.443,7.919,15.225,15.225,15.225,,15.225,7.822,75958.4594982829,75958.4594982829,75958.4594982829,,75958.4594982829,85441.7936662376,-94345.3257076025,-94345.3257076025,-94345.3257076025,,-94345.3257076025,-85020.9399018339,-48204.0645492442,-8310.39209887651,-48204.0645492442,,-8310.39209887651,-26724.2069778679,,,,,,,1355.07176598196,1355.07176598196,1355.07176598196,,1355.07176598196,1118.74304484565,,,,,,,-38785.6877719225,-7843.73626751431,-38785.6877719225,,-7843.73626751431,-21391.5411810279,,,,,,,73647.1745636213,73647.1745636213,73647.1745636213,,73647.1745636213,76835.611557125,1914.32870923335,10.67278219392,15.72250765344,4.8145126288,43,,,-2,35,35,35,,35,,,,,,,,Crowe mackay LLP,Crowe mackay LLP,Crowe mackay LLP,,Crowe mackay LLP,,,,,,,,,-47481.2499163401,-8103.18128533066,-47481.2499163401,,-8103.18128533066,-26527.6843127815
Metal Powder Works Limited (ASX:MPW),131371346,IQ1913180474,1036.86835348908,551.217781171645,1036.86835348908,549.154105357947,,,6770.63922152665,13773.0142752492,6770.63922152665,13657.3205890492,,,1379.89182517302,868.990795151892,1379.89182517302,861.691249362146,,,20.381,6.309,20.381,6.309,,,5622.99023393155,11717.1738268654,5622.99023393155,11618.7492551061,,,1219.08608196898,770.002001121444,1219.08608196898,763.533963834122,,,703.68452139089,225.975186782184,703.68452139089,224.076989203492,,,5390.74739635363,12904.0234800973,5390.74739635363,12795.6293396871,,,4.612,15.217,4.612,15.217,,,3.566,13.643,3.566,13.643,,,4137.17367259392,10211.4667830028,4137.17367259392,10125.6901904556,,,-7236.13191169638,-9839.77388009507,-7236.13191169638,-9757.11951781733,,,-2612.08493499446,-1181.39493686806,-2612.08493499446,-1176.97197331188,,,,,,,,,210.409099942821,293.79335647746,210.409099942821,291.32548446973,,,,,,,,,-4010.84079654029,-1219.57969143889,-4010.84079654029,-1215.01376995002,,,216.906814628201,241.19237701421,216.906814628201,240.28938931698,,,4403.90415196257,10947.171825744,4403.90415196257,10855.215291272,,,279.697352232798,1.87190704926,3.56451265702,0.29764039289,,,,,,,,,,,,,,,,,Grant Thornton,,Grant Thornton,,,,,,,,,,,-2373.52961006418,-1101.48077931412,-2373.52961006418,-1097.35700224965,,
Fathom Holdings Inc. (NASDAQCM:FTHM),13338933,IQ589080953,420477,90606,420477,,90606,115313,78044,78044,78044,,78044,83237,40605,40605,40605,,40605,39856,52.028,52.028,52.028,,52.028,47.883,35920,35920,35920,,35920,37499,33897,33897,33897,,33897,26639,25651,25651,25651,,25651,19589,37439,37439,37439,,37439,43381,1.06,1.06,1.06,,1.06,1.408,0.546,0.546,0.546,,0.546,0.784,5773,5773,5773,,5773,9756,-113470,-113470,-113470,,-113470,-106758,-13552,-4722,-13552,,-4722,-2038,,,,,,,12718,12718,12718,,12718,11130,,,,,,,-20307,-6713,-20307,,-6713,-4357,34196,7140,34196,,7140,9570,2023,2023,2023,,2023,10860,28.76652441,0.905,3.37,0.484,22,,,0,281,281,281,,281,,,,,,,,Deloitte & Touche LLP,Deloitte & Touche LLP,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,,,,,-11305,-4155,-11305,,-4155,-555
Victory Commercial Management Inc.,13372185,IQ590536482,8191.13,1251.165,,,,,29500.068,26385.589,,,,,267022.575,274213.587,,,,,905.159,1039.255,,,,,7234.172,4629.83,,,,,30159.566,130092.341,,,,,222773.893,223128.971,,,,,-237522.507,-247827.998,,,,,0.24,0.036,,,,,0.02,0.003,,,,,122.884,143.486,,,,,-203808.349,-208323.288,,,,,-4387.372,-747.731,,,,,469.317,274.661,,,,,6557.231,4032.364,,,,,-4387.372,-747.731,,,,,-9619.713,-1218.298,,,,,8188.418,1149.968,,,,,-22925.394,-125462.511,,,,,,,,,3,,,0,,,,,,,,,,,,,"Wei, Wei & Co., LLP",,,,,,,,,,,,,-3160.786,-481.886,,,,
"Belpointe REIT, Inc.",13474130,IQ594147334,329,102,,,,,93852,127215,,,,,13345,12360,,,,,14.219,9.716,,,,,,,,,,,831,1585,,,,,11991,10775,,,,,80507,114855,,,,,74.193,58.754,,,,,31.77,11.705,,,,,24499,18553,,,,,-2815,-3814,,,,,-2204,-425,,,,,,,,,,,36911,74047,,,,,-2204,-425,,,,,-2271,-424,,,,,-656,-239,,,,,60823,91540,,,,,,,,,2,,,0,,,,,,,,,,,,,"Citrin Cooperman & Company, LLP",,,,,,,,,,,,,-1902,-340,,,,
"Silver Merger Sub 1, LLC",139394015,IQ1959696024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angel Oak Mortgage REIT, Inc. (NYSE:AOMR)",13970906,IQ600542140,60995,-2203,60995,-2203,16698,14903,2749778,2809981,2749778,2809981,2749778,2638110,2482255,2553079,2482255,2553079,2482255,2373945,90.271,90.858,90.271,90.858,90.271,89.987,,2553973,,2553973,,,444508,384175,444508,384175,444508,558493,2277174,2418134,2277174,2418134,2277174,2213410,267523,256902,267523,256902,267523,264165,5.467,6.648,5.467,6.648,5.467,4.241,5.451,6.644,5.451,6.644,5.451,4.219,41619,41963,41619,41963,41619,51598,-205989,-221431,-205989,-221431,-205989,-209242,,,,,,,,,,,,,2381264,2506417,2381264,2506417,2381264,2302886,,,,,,,44024,-7379,44024,-7379,11316,11410,50521,-5827,50521,-5827,13122,13276,1985731,2169798,1985731,2169798,1985731,1809907,224.97926241,9.25,10.34,7.96,9,,,0,,,,,,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,,,,,,,,,,
"Postal Realty Trust, Inc. (NYSE:PSTL)",14199292,IQ603923229,95823,25996,95823,,25996,24326,759057,759057,759057,,759057,735190,399496,399496,399496,,399496,386713,52.631,52.631,52.631,,52.631,52.6,,,,,,,20167,20167,20167,,20167,18693,364305,364305,364305,,364305,350204,359561,359561,359561,,359561,348477,1.52,1.52,1.52,,1.52,1.764,1.488,1.488,1.488,,1.488,1.707,1454,1454,1454,,1454,1902,-74024,-74024,-74024,,-74024,-72298,33612,9522,33612,,9522,9246,26256,26256,26256,,26256,27205,26456,26456,26456,,26456,27405,33612,9522,33612,,9522,9246,14149,4643,14149,,4643,3810,74793,20053,74793,,20053,19106,10486,10486,10486,,10486,14288,600.59454,22.33,22.36,12.5,41,,,0,42,42,42,,42,,,,,,,,Deloitte & Touche LLP,Deloitte & Touche LLP,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,,,,,53972,14940,53972,,14940,14393
"NewLake Capital Partners, Inc. (OTCQX:NLCP)",15012328,IQ613283671,51071,12343,51071,,12343,12587,420829,420829,420829,,420829,423997,26141,26141,26141,,26141,26395,6.212,6.212,6.212,,6.212,6.225,,,,,,,10554,10554,10554,,10554,10347,7717,7717,7717,,7717,7660,394688,394688,394688,,394688,397602,3.19,3.19,3.19,,3.19,2.753,2.268,2.268,2.268,,2.268,2.278,23937,23937,23937,,23937,23569,-59449,-59449,-59449,,-59449,-56469,27285,6279,27285,,6279,6916,,,,,,,4929,4929,4929,,4929,4918,27285,6279,27285,,6279,6916,26318,6036,26318,,6036,6666,49881,12016,49881,,12016,12396,23114,23114,23114,,23114,18140,294.71656912,14.34,16.75,12.09,0,,,,7,7,7,,7,,,,,,,,CBIZ CPAs P.C,CBIZ CPAs P.C,CBIZ CPAs P.C,,CBIZ CPAs P.C,,,,,,,,,42805,10165,42805,,10165,10790
"Alpine Income Property Trust, Inc. (NYSE:PINE)",19353248,IQ639954995,60532,18406,60532,18406,16900,14563,715874,745126,715874,745126,715874,621424,414618,411464,414618,411464,414618,376207,57.918,55.221,57.918,55.221,57.918,60.54,,,,,,,104257,7047,104257,7047,104257,104664,391002,382889,391002,382889,391002,361435,301256,333662,301256,333662,301256,245217,2.131,36.088,2.131,36.088,2.131,1.224,0.095,1.249,0.095,1.249,0.095,0.077,4589,2618,4589,2618,4589,1183,,,,,,,17684,7030,17684,7030,5799,4380,2981,3693,2981,3693,2981,3460,170534,220851,170534,220851,170534,106232,17684,7030,17684,7030,5799,4380,-2657,2185,-2657,2185,1473,-1310,51776,16104,51776,16104,14174,12672,117876,247264,117876,247264,117876,23496,323.8842964,19.37,20.8,13.1,4,,,0,,,,,,,,,,,,,Grant Thornton,,Grant Thornton,,Grant Thornton,,,,,,,,,44454,14009,44454,14009,12382,10801
Ucommune International Ltd (NASDAQCM:UK),19571174,IQ647724666,3634.69518491429,,3634.69518491429,,,,28954.73520192,28954.73520192,28954.73520192,,28954.73520192,28447.157022141,10608.05786944,10608.05786944,10608.05786944,,10608.05786944,10422.098002537,36.637,36.637,36.637,,36.637,36.637,8949.87418048,8949.87418048,8949.87418048,,8949.87418048,8792.982369379,8340.9584768,8340.9584768,8340.9584768,,8340.9584768,8194.74099314,3046.7230912,3046.7230912,3046.7230912,,3046.7230912,2993.31385951,18346.67733248,18346.67733248,18346.67733248,,18346.67733248,18025.059019604,1.073,1.073,1.073,,1.073,1.073,0.786,0.786,0.786,,0.786,0.786,5155.83895424,5155.83895424,5155.83895424,,5155.83895424,5065.456799702,-663234.30138752,-663234.30138752,-663234.30138752,,-663234.30138752,-651607.765792646,-5305.37475574435,,-5305.37475574435,,,,1402.12169664,1402.12169664,1402.12169664,,1402.12169664,1377.542422347,1403.2654688,1403.2654688,1403.2654688,,1403.2654688,1378.666144115,-5305.37475574435,,-5305.37475574435,,,,-5265.85509906304,,-5265.85509906304,,,,-103.808675648777,,-103.808675648777,,,,608.91570368,608.91570368,608.91570368,,608.91570368,598.241376239,1.80870024,3.63,15.5,2.393,28,,,0,,,,,,,,,,,,,Marcum Asia CPAs LLP | Marcum Bernstein & Pinchuk,Marcum Asia CPAs LLP | Marcum Bernstein & Pinchuk,Marcum Asia CPAs LLP | Marcum Bernstein & Pinchuk,,Marcum Asia CPAs LLP | Marcum Bernstein & Pinchuk,,,,,,,,,-4857.29977506196,,-4857.29977506196,,,
