SP_ENTITY_NAME,SP_ENTITY_ID,SP_CIQ_ID,IQ_TOTAL_REV_Y,IQ_TOTAL_REV_Q,IQ_TOTAL_REV_FY2025,IQ_TOTAL_REV_FQ12026,IQ_TOTAL_REV_FQ42025,IQ_TOTAL_REV_FQ32025,IQ_TOTAL_ASSETS_Y,IQ_TOTAL_ASSETS_Q,IQ_TOTAL_ASSETS_FY2025,IQ_TOTAL_ASSETS_FQ12026,IQ_TOTAL_ASSETS_FQ42025,IQ_TOTAL_ASSETS_FQ32025,IQ_TOTAL_LIAB_Y,IQ_TOTAL_LIAB_Q,IQ_TOTAL_LIAB_FY2025,IQ_TOTAL_LIAB_FQ12026,IQ_TOTAL_LIAB_FQ42025,IQ_TOTAL_LIAB_FQ32025,IQ_TOTAL_LIAB_TOTAL_ASSETS_Y,IQ_TOTAL_LIAB_TOTAL_ASSETS_Q,IQ_TOTAL_LIAB_TOTAL_ASSETS_FY2025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ12026,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ42025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ32025,SP_CURRENT_ASSETS_Y,SP_CURRENT_ASSETS_Q,SP_CURRENT_ASSETS_FY2025,SP_CURRENT_ASSETS_FQ12026,SP_CURRENT_ASSETS_FQ42025,SP_CURRENT_ASSETS_FQ32025,IQ_TOTAL_CL_Y,IQ_TOTAL_CL_Q,IQ_TOTAL_CL_FY2025,IQ_TOTAL_CL_FQ12026,IQ_TOTAL_CL_FQ42025,IQ_TOTAL_CL_FQ32025,IQ_TOTAL_DEBT_Y,IQ_TOTAL_DEBT_Q,IQ_TOTAL_DEBT_FY2025,IQ_TOTAL_DEBT_FQ12026,IQ_TOTAL_DEBT_FQ42025,IQ_TOTAL_DEBT_FQ32025,IQ_TOTAL_EQUITY_Y,IQ_TOTAL_EQUITY_Q,IQ_TOTAL_EQUITY_FY2025,IQ_TOTAL_EQUITY_FQ12026,IQ_TOTAL_EQUITY_FQ42025,IQ_TOTAL_EQUITY_FQ32025,IQ_CURRENT_RATIO_Y,IQ_CURRENT_RATIO_Q,IQ_CURRENT_RATIO_FY2025,IQ_CURRENT_RATIO_FQ12026,IQ_CURRENT_RATIO_FQ42025,IQ_CURRENT_RATIO_FQ32025,IQ_QUICK_RATIO_Y,IQ_QUICK_RATIO_Q,IQ_QUICK_RATIO_FY2025,IQ_QUICK_RATIO_FQ12026,IQ_QUICK_RATIO_FQ42025,IQ_QUICK_RATIO_FQ32025,IQ_CASH_EQUIV_Y,IQ_CASH_EQUIV_Q,IQ_CASH_EQUIV_FY2025,IQ_CASH_EQUIV_FQ12026,IQ_CASH_EQUIV_FQ42025,IQ_CASH_EQUIV_FQ32025,IQ_RETAINED_EARNINGS_Y,IQ_RETAINED_EARNINGS_Q,IQ_RETAINED_EARNINGS_FY2025,IQ_RETAINED_EARNINGS_FQ12026,IQ_RETAINED_EARNINGS_FQ42025,IQ_RETAINED_EARNINGS_FQ32025,IQ_EBIT_Y,IQ_EBIT_Q,IQ_EBIT_FY2025,IQ_EBIT_FQ12026,IQ_EBIT_FQ42025,IQ_EBIT_FQ32025,IQ_AR_RE_Y,IQ_AR_RE_Q,IQ_AR_RE_FY2025,IQ_AR_RE_FQ12026,IQ_AR_RE_FQ42025,IQ_AR_RE_FQ32025,IQ_TOTAL_RECEIV_Y,IQ_TOTAL_RECEIV_Q,IQ_TOTAL_RECEIV_FY2025,IQ_TOTAL_RECEIV_FQ12026,IQ_TOTAL_RECEIV_FQ42025,IQ_TOTAL_RECEIV_FQ32025,IQ_OPER_INC_RE_Y,IQ_OPER_INC_RE_Q,IQ_OPER_INC_RE_FY2025,IQ_OPER_INC_RE_FQ12026,IQ_OPER_INC_RE_FQ42025,IQ_OPER_INC_RE_FQ32025,IQ_NET_INC_PARENT_Y,IQ_NET_INC_PARENT_Q,IQ_NET_INC_PARENT_FY2025,IQ_NET_INC_PARENT_FQ12026,IQ_NET_INC_PARENT_FQ42025,IQ_NET_INC_PARENT_FQ32025,IQ_GP_Y,IQ_GP_Q,IQ_GP_FY2025,IQ_GP_FQ12026,IQ_GP_FQ42025,IQ_GP_FQ32025,IQ_WORKING_CAP_Y,IQ_WORKING_CAP_Q,IQ_WORKING_CAP_FY2025,IQ_WORKING_CAP_FQ12026,IQ_WORKING_CAP_FQ42025,IQ_WORKING_CAP_FQ32025,SP_MARKETCAP_Current,SP_PRICE_OPEN_Current,SP_PRICE_HIGH_Current,SP_PRICE_LOW_Current,SP_HEADCOUNT_LATEST,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,IQ_TOTAL_EMPLOYEES_Y,IQ_TOTAL_EMPLOYEES_Q,IQ_TOTAL_EMPLOYEES_FY2025,IQ_TOTAL_EMPLOYEES_FQ12026,IQ_TOTAL_EMPLOYEES_FQ42025,IQ_TOTAL_EMPLOYEES_FQ32025,REG_CEO_CHANGE_MRY,REG_CEO_CHANGE_MRQ,REG_CEO_CHANGE_2025Y,REG_CEO_CHANGE_2026Q1,REG_CEO_CHANGE_2025Q4,REG_CEO_CHANGE_2025Q3,IQ_AUDITOR_NAME_Y,IQ_AUDITOR_NAME_Q,IQ_AUDITOR_NAME_FY2025,IQ_AUDITOR_NAME_FQ12026,IQ_AUDITOR_NAME_FQ42025,IQ_AUDITOR_NAME_FQ32025,SP_FITCH_LT_CREDIT_RATING,SP_FITCH_LT_RATING_EFFECTIVE_ DATE,SP_FITCH_LT_RATING_CREDIT_WATCH_OUTLOOK,RD_CREDIT_RATING_GLOBAL_Issuer Credit Rating,RD_CREDIT_RATING_DATE_GLOBAL_Issuer Credit Rating,RD_CWOL_GLOBAL_Issuer Credit Rating,RD_CREDIT_WATCH_OUTLOOK_DATE_GLOBAL_Issuer Credit Rating,IQ_EBITDA_Y,IQ_EBITDA_Q,IQ_EBITDA_FY2025,IQ_EBITDA_FQ12026,IQ_EBITDA_FQ42025,IQ_EBITDA_FQ32025
Target Hospitality Corp. (NASDAQCM:TH),13411898,IQ591263708,320635,89777,320635,,89777,99355,530205,530205,530205,,530205,541155,141145,141145,141145,,141145,138909,26.621,26.621,26.621,,26.621,25.669,73338,73338,73338,,73338,79444,84043,84043,84043,,84043,82420,10696,10696,10696,,10696,13283,389060,389060,389060,,389060,402246,0.873,0.873,0.873,,0.873,0.964,0.793,0.793,0.793,,0.793,0.887,8348,8348,8348,,8348,30387,295259,295259,295259,,295259,310193,-30953,-13053,-30953,,-13053,69,,,,,,,56200,56200,56200,,56200,42734,,,,,,,-37121,-14934,-37121,,-14934,-795,99841,22633,99841,,22633,32316,-10705,-10705,-10705,,-10705,-2976,1508.34271125,14.54,16.12,5.97,185,,,1,902,902,902,,902,,,,,,,,Ernst & Young LLP,Ernst & Young LLP,Ernst & Young LLP,,Ernst & Young LLP,,,,,NR,2025-04-30 15:11:12,NR,2025-04-30 15:11:12,42565,6592,42565,,6592,18566
"Kura Sushi USA, Inc. (NASDAQGM:KRUS)",15461477,IQ627002367,282763,80018,282763,73455,79448,73965,430942,460980,430942,443511,430942,419373,199872,232169,199872,214310,199872,192369,46.38,50.364,46.38,48.321,46.38,45.871,75447,62759,75447,64763,75447,72026,42780,42975,42780,40326,42780,38548,170015,203170,170015,187412,170015,166036,231070,228811,231070,229201,231070,227004,1.764,1.46,1.764,1.606,1.764,1.868,1.613,1.271,1.613,1.416,1.613,1.703,47498,26605,47498,35365,47498,47132,-34892,-39664,-34892,-37952,-34892,-37165,-2447,-1018,-2447,-3437,1673,-162,,,,,,,6536,6593,6536,6406,6536,5136,,,,,,,-1904,-1712,-1904,-3060,2273,565,47032,13016,47032,9980,14643,12138,32667,19784,32667,24437,32667,33478,656.35006446,56.1,95.98,42.62,324,,,-2,3900,,3900,,3900,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,,,,,11599,3259,11599,672,5564,3397
"Global Business Travel Group, Inc. (NYSE:GBTG)",19764861,IQ651009266,2718000,840000,2718000,840000,792000,674000,4916000,5079000,4916000,5079000,4916000,4760000,3255000,3415000,3255000,3415000,3255000,3226000,66.212,67.238,66.212,67.238,66.212,67.773,1569000,1757000,1569000,1757000,1569000,1622000,1381000,1494000,1381000,1494000,1381000,1322000,1560000,1606000,1560000,1606000,1560000,1531000,1661000,1664000,1661000,1664000,1661000,1534000,1.136,1.176,1.136,1.176,1.136,1.227,1.003,1.006,1.003,1.006,1.003,1.095,434000,442000,434000,442000,434000,427000,-1466000,-1414000,-1466000,-1414000,-1466000,-1549000,236000,45000,236000,45000,45000,53000,,,,,,,951000,1061000,951000,1061000,951000,1021000,,,,,,,109000,52000,109000,52000,83000,-62000,1633000,490000,1633000,490000,450000,404000,188000,263000,188000,263000,188000,300000,4866.46868394,9.305,9.39,4.955,10244,,,0,27000,,27000,,27000,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,BB-,2025-02-27 17:58:46,Stable,2025-02-27 17:58:46,328000,105000,328000,105000,68000,102000
Zhonghe Brand Yunjigou Technology Inc. (OTCEM:CRGH),19816881,IQ652762297,,,,,,,31.901,,,,,,184.8,,,,,,579.292,,,,,,31.901,,,,,,184.8,,,,,,184.8,0,,,,,-152.899,0,,,,,0.173,,,,,,0.173,,,,,,31.901,,,,,,-187.049,-208.95,,,,,-27.105,-21.901,,,,,,,,,,,,,,,,,,,,,,,-27.105,-21.901,,,,,,,,,,,-152.899,,,,,,11.125,,6,1.5,1,,,0,,,,,,,,,,,,,"Gillespie & Associates PLLC - (Michael Gillespie & Associates, PLLC )",,,,,,,,,,,,,,,,,,
Sonder Holdings Inc. (OTCEM:SOND.Q),19823224,IQ652932156,621272,147085,,,,,1137177,1004807,,,,,1573065,1490032,,,,,138.331,148.29,,,,,99846,97163,,,,,338547,388152,,,,,1399141,1249087,,,,,-435888,-485225,,,,,0.295,0.25,,,,,0.127,0.127,,,,,20786,27130,,,,,-1583268,-1684286,,,,,-164474,-196,,,,,,,,,,,22068,22257,,,,,,,,,,,-224087,-44523,,,,,59686,28114,,,,,-238701,-290989,,,,,1.27575e-05,,3.44,1e-06,647,,,-33,1421,,,,,,,,,,,,Deloitte & Touche LLP,,,,,,,,,,,,,-147485,1799,,,,
"Amergent Hospitality Group, Inc.",20023707,IQ643320443,21294,4667,,,,,19185,19185,,,,,28431,28431,,,,,148.194,148.194,,,,,1636,1636,,,,,17969,17969,,,,,18927,18927,,,,,-9246,-9246,,,,,0.091,0.091,,,,,0.07,0.07,,,,,375,375,,,,,-100976,-100976,,,,,-6449,-1947,,,,,,,,,,,869,869,,,,,,,,,,,-3013,-1112,,,,,-172,-611,,,,,-16333,-16333,,,,,1.68337e-05,,,,,,,,319,319,,,,,,,,,,,"Cherry Bekaert LLP - Cherry, Bekaert & Holland, LLP","Cherry Bekaert LLP - Cherry, Bekaert & Holland, LLP",,,,,,,,,,,,-5756,-1847,,,,
"Chilco River Holdings, Inc. (OTCPK:CRVH)",20027663,IQ662501662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.812673775,0.0155,0.035,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fast Casual Concepts, Inc. (OTCPK:FCCI)",20053190,IQ662620345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.698086763,,1.19,0.2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Bistro Inc. (OTCEM:HBIS),20059567,IQ664973971,1973.05,619.187,,,,,7997.27,5012.858,,,,,3273.966,3629.154,,,,,40.939,72.397,,,,,2372.058,227.729,,,,,2690.855,3164.422,,,,,1552.611,1349.471,,,,,4723.304,1383.704,,,,,0.882,0.072,,,,,0.848,0.023,,,,,2275.397,71.613,,,,,-19135.664,-29951.604,,,,,-14265.191,-1651.897,,,,,,,,,,,7,,,,,,,,,,,,-15362.73,-2287.675,,,,,235.568,-88.159,,,,,-318.797,-2936.693,,,,,0.0001994482,,0.0002,0.0001,,,,,15,,,,,,,,,,,,D. Brooks and Associates CPA’s P.A.,,,,,,,,,,,,,-14200.075,-1359.028,,,,
Atour Lifestyle Holdings Limited (NASDAQGS:ATAT),29188222,IQ717764235,1362337.05118091,393288.627310842,1362337.05118091,,393288.627310842,367185.457552414,1310692.26742912,1310692.26742912,1310692.26742912,,1310692.26742912,1257528.65659416,798739.7056416,798739.7056416,798739.7056416,,798739.7056416,739087.960314015,60.94,60.94,60.94,,60.94,58.773,1051584.8387616,1051584.8387616,1051584.8387616,,1051584.8387616,959341.781263866,532638.82507328,532638.82507328,532638.82507328,,532638.82507328,444803.349288324,218020.1302784,218020.1302784,218020.1302784,,218020.1302784,230729.436201589,511952.56178752,511952.56178752,511952.56178752,,511952.56178752,518440.696280143,1.974,1.974,1.974,,1.974,2.157,1.737,1.737,1.737,,1.737,1.957,472370.61053248,472370.61053248,472370.61053248,,472370.61053248,375104.647093345,313896.68861888,313896.68861888,313896.68861888,,313896.68861888,290621.418527232,328697.647606989,107103.070942875,328697.647606989,,107103.070942875,91022.793043781,,,,,,,84485.30248448,84485.30248448,84485.30248448,,84485.30248448,64382.093580129,,,,,,,225567.068039226,67763.0069685967,225567.068039226,,67763.0069685967,66189.1478790585,610624.894761421,181276.885146531,610624.894761421,,181276.885146531,160139.957014526,518946.01368832,518946.01368832,518946.01368832,,518946.01368832,514538.431975542,5141.015033,38.04,43.1725,24.29,,,,,6356,6356,6356,,6356,,,,,,,,KPMG Huazhen Certified Public Accountants,KPMG Huazhen Certified Public Accountants,KPMG Huazhen Certified Public Accountants,,KPMG Huazhen Certified Public Accountants,,,,,,,,,336226.698819661,109048.334701083,336226.698819661,,109048.334701083,93023.7530766612
"First Watch Restaurant Group, Inc. (NASDAQGS:FWRG)",29767308,IQ1680518858,1222501,330959,1222501,330959,316352,316022,1742029,1774055,1742029,1774055,1742029,1720229,1115750,1146398,1115750,1146398,1115750,1112918,64.049,64.62,64.049,64.62,64.049,64.696,49080,51566,49080,51566,49080,43716,167499,177490,167499,177490,167499,176767,1009568,1031189,1009568,1031189,1009568,982947,626279,627657,626279,627657,626279,607311,0.293,0.291,0.293,0.291,0.293,0.247,0.168,0.167,0.168,0.167,0.168,0.148,21246,23565,21246,23565,21246,20714,-34390,-37075,-34390,-37075,-34390,-49554,33771,2328,33771,2328,10016,11368,,,,,,,6859,6031,6859,6031,6859,5506,,,,,,,19432,-2685,19432,-2685,15164,2991,247386,66726,247386,66726,64894,67874,-118419,-125924,-118419,-125924,-118419,-133051,752.44314255,12.94,19.53,10.09,2357,,,-1,17500,,17500,,17500,,,,,,,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,108782,23724,108782,23724,30672,31030
Aramark (NYSE:ARMK),4019141,IQ1004106,18506299,4831549,18506299,4831549,5048464,4626451,13304629,13542915,13304629,13542915,13304629,13283678,10142440,10309007,10142440,10309007,10142440,10185450,76.232,76.121,76.232,76.121,76.232,76.676,3522891,3633646,3522891,3633646,3522891,3528537,3546722,2855588,3546722,2855588,3546722,2737997,5725958,6578421,5725958,6578421,5725958,6617796,3162189,3233908,3162189,3233908,3162189,3098228,0.993,1.272,0.993,1.272,0.993,1.289,0.811,1.031,0.811,1.031,0.811,1.06,639095,439633,639095,439633,639095,501485,453283,515843,453283,515843,453283,393744,854046,217549,854046,217549,268893,182587,,,,,,,2237191,2496066,2237191,2496066,2237191,2357475,,,,,,,326394,96161,326394,96161,87138,71783,2899810,416176,2899810,416176,1758077,370108,-23831,778058,-23831,778058,-23831,790540,11769.79603522,45.04,46.88,33.5,22665,,,0,278390,,278390,,278390,,,,,,,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,BB,2023-06-06 11:02:15,Stable,2023-06-06 11:02:15,1330391,343503,1330391,343503,393153,304409
Hilton Worldwide Holdings Inc. (NYSE:HLT),4019144,IQ29470,4954000,1182000,4954000,1182000,1280000,1283000,16774000,16385000,16774000,16385000,16774000,16641000,22120000,22252000,22120000,22252000,22120000,21532000,131.871,135.807,131.871,135.807,131.871,129.391,2996000,2772000,2996000,2772000,2996000,3119000,4508000,4556000,4508000,4556000,4508000,4698000,13214000,13058000,13214000,13058000,13214000,12351000,-5346000,-5867000,-5346000,-5867000,-5346000,-4891000,0.665,0.608,0.665,0.608,0.665,0.664,0.579,0.493,0.579,0.493,0.579,0.577,918000,564000,918000,564000,918000,1057000,-1508000,-1158000,-1508000,-1158000,-1508000,-1770000,2675000,678000,2675000,678000,584000,777000,,,,,,,1690000,1684000,1690000,1684000,1690000,1652000,,,,,,,1457000,385000,1457000,385000,297000,420000,3860000,947000,3860000,947000,988000,1006000,-1512000,-1784000,-1512000,-1784000,-1512000,-1579000,70885.15007336,314.75,344.75,235.985,39397,,,0,182000,,182000,,182000,,,,,,,,Ernst & Young LLP,,Ernst & Young LLP,,Ernst & Young LLP,,,,,BB+,2022-08-01 15:33:04,Stable,2022-08-01 15:33:04,2852000,728000,2852000,728000,631000,823000
WestAmerica Corporation (OTCEM:WACC),4020620,IQ267967,1585,376,,,,,4378,4950,,,,,1535,2422,,,,,35.062,48.929,,,,,1137,1178,,,,,945,1716,,,,,688,766,,,,,2843,2528,,,,,1.203,0.686,,,,,0.83,0.45,,,,,292,179,,,,,-3636,-4838,,,,,319,-740,,,,,,,,,,,581,568,,,,,,,,,,,15,-758,,,,,1021,177,,,,,192,-538,,,,,1.76734e-05,,0.0001,1e-06,,,,,12,,,,,,,,,,,,"Tullius Taylor Sartain & Sartain, LLP",,,,,,,,,,,,,656,-688,,,,
"Yum! Brands, Inc. (NYSE:YUM)",4025819,IQ365997,8214000,2059000,8214000,2059000,2515000,1979000,8197000,8211000,8197000,8211000,8197000,7193000,15522000,15494000,15522000,15494000,15522000,14698000,189.362,188.698,189.362,188.698,189.362,204.338,2040000,2030000,2040000,2030000,2040000,2204000,1516000,3118000,1516000,3118000,1516000,1301000,13189000,11954000,13189000,11954000,13189000,12484000,-7325000,-7283000,-7325000,-7283000,-7325000,-7505000,1.346,0.651,1.346,0.651,1.346,1.694,1.098,0.487,1.098,0.487,1.098,1.458,709000,689000,709000,689000,709000,1045000,-7014000,-6971000,-7014000,-6971000,-7014000,-7183000,2704000,638000,2704000,638000,803000,681000,,,,,,,955000,828000,955000,828000,955000,852000,,,,,,,1559000,432000,1559000,432000,535000,397000,3792000,920000,3792000,920000,1119000,930000,524000,-1088000,524000,-1088000,524000,903000,42641.15366,157.28,169.39,137.33,3893,,,0,49000,,49000,,49000,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,BB+,2022-03-17 15:54:55,Stable,2022-03-17 15:54:55,2910000,698000,2910000,698000,870000,731000
Plural Industry Holding Group Co. Limited (OTCPK:PIHG),4042236,IQ848717,7.513,5.181,,,,,441.224,450.482,,,,,543.276,568.276,,,,,123.129,126.148,,,,,4.224,13.482,,,,,543.276,568.276,,,,,21,21,,,,,-102.052,-117.794,,,,,0.008,0.024,,,,,0.008,0.024,,,,,4.224,13.482,,,,,-979.896,-1035.638,,,,,-88.286,-55.742,,,,,,,,,,,,,,,,,,,,,,,-88.286,-55.742,,,,,7.513,5.181,,,,,-539.052,-554.794,,,,,13.7990601,,5,0.3,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marriott International, Inc. (NASDAQGS:MAR)",4046286,IQ31148,6982000,1833000,6982000,,1833000,1729000,27540000,27540000,27540000,,27540000,27833000,31311000,31311000,31311000,,31311000,30952000,113.693,113.693,113.693,,113.693,111.206,3584000,3584000,3584000,,3584000,4111000,8398000,8398000,8398000,,8398000,8798000,17182000,17182000,17182000,,17182000,16886000,-3771000,-3771000,-3771000,,-3771000,-3119000,0.427,0.427,0.427,,0.427,0.467,0.389,0.389,0.389,,0.389,0.43,358000,358000,358000,,358000,678000,18414000,18414000,18414000,,18414000,18148000,4139000,806000,4139000,,806000,1140000,,,,,,,2909000,2909000,2909000,,2909000,3101000,,,,,,,2601000,445000,2601000,,445000,728000,5521000,1322000,5521000,,1322000,1403000,-4814000,-4814000,-4814000,,-4814000,-4687000,91994.98524932,351.16,380,246.5,67045,,,0,414000,414000,414000,,414000,,,,,,,,Ernst & Young LLP,Ernst & Young LLP,Ernst & Young LLP,,Ernst & Young LLP,,,,,BBB,2022-05-12 14:25:20,Stable,2022-05-12 14:25:20,4597000,928000,4597000,,928000,1254000
"Choice Hotels International, Inc. (NYSE:CHH)",4046290,IQ370714,980589,216671,980589,216671,234153,277906,2918203,2944586,2918203,2944586,2918203,2907534,2736974,2807159,2736974,2807159,2736974,2757760,93.79,95.333,93.79,95.333,93.79,94.849,405998,410775,405998,410775,405998,450347,467291,433989,467291,433989,467291,468542,2022449,2109620,2022449,2109620,2022449,2028286,181229,137427,181229,137427,181229,149774,0.869,0.947,0.869,0.947,0.869,0.961,0.569,0.696,0.569,0.696,0.569,0.66,44997,43872,44997,43872,44997,52583,2318031,2325220,2318031,2325220,2318031,2267567,454250,60270,454250,60270,105365,143910,,,,,,,315633,312851,315633,312851,315633,352390,,,,,,,369946,20304,369946,20304,63682,179996,888905,193020,888905,193020,209740,254114,-61293,-23214,-61293,-23214,-61293,-18195,4431.34763584,99.7,136.45,84.035,5015,,,-1,1754,,1754,,1754,,,,,,,,Ernst & Young LLP,,Ernst & Young LLP,,Ernst & Young LLP,,,,,BBB-,2018-11-16 14:22:23,Stable,2024-03-12 11:48:30,505919,82206,505919,82206,118282.25,164539
"Candlewood Hotel Company, Inc. (OTCEM:CNDL)",4046292,IQ26031,268242,35754,,,,,168337,162200,,,,,100045,106883,,,,,59.431,65.896,,,,,12975,15140,,,,,15625,24352,,,,,58932,66029,,,,,68292,55317,,,,,0.83,0.622,,,,,0.808,0.622,,,,,8913,9394,,,,,-67617,-86072,,,,,-9658,-2115,,,,,,,,,,,3705,5746,,,,,,,,,,,-27323,-6725,,,,,2443,664,,,,,-2650,-9212,,,,,9.025e-06,,1e-06,1e-06,9,,,0,1295,,,,,,,,,,,,Ernst & Young LLP,,,,,,,,,,,,,-3535,-809,,,,
"Luby's, Inc.",4054141,IQ286237,214022,41947,,,,,177403,,,,,,103804,,,,,,58.513,,,,,,31147,,,,,,30259,,,,,,75848,75848,,,,,73599,73599,,,,,1.029,,,,,,0.699,,,,,,15069,,,,,,32759,,,,,,-21894,-1739,,,,,,,,,,,6092,,,,,,,,,,,,-29450,-3019,,,,,50793,12240,,,,,888,,,,,,,,,,364,,,0,3074,3074,,,,,,,,,,,Grant Thornton,,,,,,,,,,,,,-10380,403,,,,
The Wendy's Company (NASDAQGS:WEN),4055686,IQ23557,2176891,542974,2176891,,542974,549516,4956561,4956561,4956561,,4956561,4976175,4839178,4839178,4839178,,4839178,4866982,97.632,97.632,97.632,,97.632,97.806,618039,618039,618039,,618039,640856,351101,351101,351101,,351101,793726,4145016,4145016,4145016,,4145016,4133245,117383,117383,117383,,117383,109193,1.76,1.76,1.76,,1.76,0.807,1.187,1.187,1.187,,1.187,0.615,300833,300833,300833,,300833,291408,435124,435124,435124,,435124,435290,339177,67299,339177,,67299,94593,,,,,,,117333,117333,117333,,117333,196396,,,,,,,165075,26481,165075,,26481,44252,755867,176938,755867,,176938,189116,266938,266938,266938,,266938,-152870,1245.64924884,6.69,12.965,6.515,13439,,,-1,9934,9934,9934,,9934,,,,,,,,Deloitte & Touche LLP,Deloitte & Touche LLP,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,B+,2021-05-26 13:28:23,Negative,2026-02-24 16:52:02,491399,107589,491399,,107589,132986
"Vail Resorts, Inc. (NYSE:MTN)",4056041,IQ36122,2964347,1083932,2964347,271029,271289,1295558,5777885,5600002,5777885,5763762,5777885,5763049,5023981,4955216,5023981,5295714,5023981,4527114,86.952,88.486,86.952,91.879,86.952,78.554,1049790,822722,1049790,1047608,1049790,1003864,1667626,1323368,1667626,1936965,1667626,1632635,3444242,3179279,3444242,3419997,3444242,2952196,753904,644786,753904,468048,753904,1235935,0.63,0.622,0.63,0.541,0.63,0.615,0.493,0.412,0.493,0.391,0.493,0.492,440290,384737,440290,581465,440290,467034,718662,583001,718662,452097,718662,997440,544802,346482,544802,-215439,-195405,570900,,,,,,,382370,160049,382370,175785,382370,335900,,,,,,,280004,210007,280004,-186752,-185460,392752,1316153,542450,1316153,-31898,29180,751529,-617836,-500646,-617836,-889357,-617836,-628771,4393.5551883,124.65,175.51,118.51,6110,,,0,6800,,6800,,6800,,,,,,,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,BB,2020-04-29 19:52:22,Stable,2021-03-16 14:32:22,841239,420832,841239,-142322,-118326,645518
"Papa John's International, Inc. (NASDAQGS:PZZA)",4070092,IQ325388,2053808,498179,2053808,,498179,508154,837508,837508,837508,,837508,884097,1270194,1270194,1270194,,1270194,1307548,151.664,151.664,151.664,,151.664,147.896,237432,237432,237432,,237432,270842,290991,290991,290991,,290991,310829,937173,937173,937173,,937173,950929,-432686,-432686,-432686,,-432686,-423451,0.816,0.816,0.816,,0.816,0.871,0.502,0.502,0.502,,0.502,0.473,36950,36950,36950,,36950,38972,210763,210763,210763,,210763,219041,109547,33778,109547,,33778,18206,,,,,,,112644,112644,112644,,112644,111888,,,,,,,30531,7071,30531,,7071,4707,425674,107209,425674,,107209,97563,-53559,-53559,-53559,,-53559,-39987,1136.05828314,35.51,55.74,29.5501,8175,,,-1,9400,9400,9400,,9400,,,,,,,,Ernst & Young LLP,Ernst & Young LLP,Ernst & Young LLP,,Ernst & Young LLP,,,,,BB-,2021-09-07 10:35:20,Negative,2026-03-06 16:21:04,201792,63947,201792,,63947,43120
Starbucks Corporation (NASDAQGS:SBUX),4071032,IQ34745,37184400,9531500,37184400,9915100,9569000,9456000,32019700,30557500,32019700,32228300,32019700,33649200,40108900,39015200,40108900,40609600,40108900,41327800,125.263,127.678,125.263,126.006,125.263,122.82,7382300,10559200,7382300,12022600,7382300,8421500,10210400,11449400,10210400,11486600,10210400,11142300,26628500,24408500,26628500,25488200,26628500,27906600,-8089200,-8457700,-8089200,-8381300,-8089200,-7678600,0.723,0.922,0.723,1.047,0.723,0.756,0.465,0.261,0.465,0.419,0.465,0.516,3219800,1532000,3219800,3413400,3219800,4172600,-8272500,-8881000,-8272500,-8685400,-8272500,-7700600,3683000,802400,3683000,918300,1050300,899300,,,,,,,1277500,1288900,1277500,1219200,1277500,1242600,,,,,,,1856400,510900,1856400,293300,133200,558300,8569500,1914400,8569500,2089200,2264800,2155700,-2828100,-890200,-2828100,536000,-2828100,-2720800,119634.309,105.8,107.52,77.99,94251,,,-1,381000,,381000,,381000,,,,,,,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,BBB+,2018-06-20 08:53:32,Negative,2024-12-05 16:42:07,5454500,1191600,5454500,1350200,1506300,1347300
