CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"STRATA Skin Sciences, Inc.",ELEOSI,Consumer Goods,Personal Care & Beauty,Skin Care Products,USA,SSKN,A,L,12437731,100.0,"STRATA Skin Sciences, Inc.",United States
"Wireless Xcessories Group, Inc.",BATBAT,Consumer Goods,Recreation & Electronics,Cell/Mobile Phones,USA,WIRX,A,L,347964,100.0,"Wireless Xcessories Group, Inc.",United States
"Net Savings Link, Inc.",CXLTPK,Consumer Goods,Dietary Supplements,Dietary/Nutritional Supplements,USA,NSAV,A,L,45759626,100.0,"Net Savings Link, Inc.",United Kingdom
The Kraft Heinz Co.,HINZC,Consumer Goods,Food & Beverage,Food Products,USA,KHC,A,L,278212,100.0,The Kraft Heinz Company,United States
"Innovative Designs, Inc.",INNVDS,Consumer Goods,Apparel & Textiles,Clothing,USA,IVDN,A,L,4844747,100.0,"Innovative Designs, Inc.",United States
Vodka Brands Corp.,VDKSKS,Consumer Goods,Food & Beverage,Alcoholic Beverages/Drinks,USA,VDKB,A,L,272835633,100.0,Vodka Brands Corp,United States
"Real Brands, Inc.",MRCRSF,Consumer Goods,Food & Beverage,Food Products,USA,RLBD,A,L,592790005,100.0,"Real Brands, Inc.",United States
"Hasbro, Inc.",HASBRO,Consumer Goods,Recreation & Electronics,Toys/Games,USA,HAS,A,L,277746,100.0,"Hasbro, Inc.",United States
"All American Pet Co., Inc.",AAPTCI,Consumer Goods,Food & Beverage,Pet Food,USA,AAPT,A,L,27199272,100.0,"All American Pet Company, Inc.",United States
Tonner-One World Holdings Inc.,ENVSFG,Consumer Goods,Recreation & Electronics,Toys/Games,USA,TONR,A,L,171153942,100.0,"Tonner-One World Holdings, Inc.",United States
Top Shelf Brands Holdings Corp.,SNXXKP,Consumer Goods,Food & Beverage,Distilling,USA,DKTS,A,L,46267146,100.0,Top Shelf Brands Holdings Corp.,United States
"Malibu Boats, Inc.",MALBWI,Consumer Goods,Recreation & Electronics,Recreational Boats,USA,MBUU,A,L,4289434,100.0,"Malibu Boats, Inc.",United States
"Mastercraft Boat Holdings, Inc.",JJEDYY,Consumer Goods,Recreation & Electronics,Recreational Boats,USA,MCFT,A,L,214080574,100.0,"MasterCraft Boat Holdings, Inc.",United States
"YETI Holdings, Inc.",ARLJUO,Consumer Goods,Other Consumer Goods,Sports Goods,USA,YETI,A,L,329268834,100.0,"YETI Holdings, Inc.",United States
"Golden Ally Lifetech Group, Inc.",SITHO,Consumer Goods,Food & Beverage,Bottled Water,USA,AQPW,A,L,27475499,100.0,"Golden Ally Lifetech Group, Inc.",United States
Code Green Apparel Corp.,FLSOLZ,Consumer Goods,Apparel & Textiles,Clothing,USA,CGAC,A,L,58900055,100.0,Code Green Apparel Corp.,United States
Aristocrat Group Corp.,ARIGCU,Consumer Goods,Food & Beverage,Distilling,USA,ASCC,A,L,139739565,100.0,Aristocrat Group Corp.,United States
Bridgford Foods Corp.,BDGFOD,Consumer Goods,Food & Beverage,Frozen Foods,USA,BRID,A,L,256064,100.0,Bridgford Foods Corporation,United States
"CompX International, Inc.",CMPXIT,Consumer Goods,Home & Household,Furniture,USA,CIX,A,L,381497,100.0,CompX International Inc.,United States
"Evergreen Sustainable Enterprises, Inc.",HTFIDI,Consumer Goods,Tobacco & Cannabis,Marijuana Products,USA,EGSE,A,L,374727259,100.0,"Evergreen Sustainable Enterprises, Inc.",United States
"North American Cannabis Holdings, Inc.",MXTRNS,Consumer Goods,Food & Beverage,Functional Beverages,USA,USMJ,A,L,214722893,100.0,"North American Cannabis Holdings, Inc.",United States
"Puration, Inc.",SIAMPT,Consumer Goods,Home & Household,Houseware,USA,PURA,A,L,156527194,100.0,"Puration, Inc.",United States
"Mannatech, Inc.",MANNTI,Consumer Goods,Dietary Supplements,Dietary/Nutritional Supplements,USA,MTEX,A,L,397326,100.0,"Mannatech, Incorporated",United States
