CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
Energy & Water Development Corp.,TDLNTL,Manufacturing,Industrial Machinery,Waste Treatment/Disposal Machinery,USA,EAWD,A,L,676269,100.0,Energy and Water Development Corp.,United States
"Cool Technologies, Inc.",BIBBC,Manufacturing,Industrial Machinery,Heating/Cooling/Air Treatment Equipment,USA,WARM,A,L,130646770,100.0,"Cool Technologies, Inc.",United States
"Global Digital Solutions, Inc.",CRBEAU,Manufacturing,Automotive,Automotive Telematics,USA,GDSI,A,L,8418077,100.0,"Global Digital Solutions, Inc.",United States
UAV Corp.,MRNCHN,Manufacturing,Aerospace & Defense,Drones,USA,UMAV,A,L,34792860,100.0,UAV Corp.,United States
"Safe Pro Group, Inc.",SFPGIU,Manufacturing,Aerospace & Defense,Defense Equipment/Products,USA,SPAI,A,L,1801114870,100.0,Safe Pro Group Inc.,United States
"Deep Field Technologies, Inc.",DFLDTC,Manufacturing,Automotive,Automotive Repair/Maintenance,USA,DPFD,A,L,22263029,100.0,"Deep Field Technologies, Inc.",United States
Genuine Parts Co.,GENPT,Manufacturing,Automotive,Motor Vehicle Parts,USA,GPC,A,L,275034,100.0,Genuine Parts Company,United States
"Mueller Water Products, Inc.",MULR,Manufacturing,Instruments & Electronics,Environmental Control Systems,USA,MWA,A,L,10404838,100.0,"Mueller Water Products, Inc.",United States
AGCO Corp.,AGCOCP,Manufacturing,Industrial Machinery,Agricultural Machinery,USA,AGCO,A,L,317519,100.0,AGCO Corporation,United States
Fox Factory Holding Corp.,FXFI,Manufacturing,Automotive,Vehicle Engine/Engine Parts,USA,FOXF,A,L,99357919,100.0,Fox Factory Holding Corp.,United States
Blue Bird Corp.,HCACZZ,Manufacturing,Automotive,Buses/Coaches,USA,BLBD,A,L,272634010,100.0,Blue Bird Corporation,United States
