CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"The RMR Group, Inc.",RMARID,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,RMR,A,L,307261649,100.0,The RMR Group Inc.,United States
Seven Hills Realty Trust,RMRAP,Real Estate,REITs,Mortgage REITs,USA,SEVN,A,L,715371729,100.0,Seven Hills Realty Trust,United States
Diversified Healthcare Trust,SNRHSG,Real Estate,REITs,Healthcare REITs,USA,DHC,A,L,405201,100.0,Diversified Healthcare Trust,United States
"Huntwicke Capital Group, Inc.",PLMZSA,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,HCGI,A,L,115774716,100.0,Huntwicke Capital Group Inc.,United States
Franklin Street Properties Corp.,FRASTR,Real Estate,REITs,Industrial/Office REITs,USA,FSP,A,L,3587084,100.0,Franklin Street Properties Corp.,United States
"The Hanover Insurance Group, Inc.",ALLMFG,Real Estate,Other Real Estate,Property/Casualty Insurance,USA,THG,A,L,340831,100.0,"The Hanover Insurance Group, Inc.",United States
"DevMar Equities, Inc.",LCEOEN,Real Estate,Residential Real Estate,Residential Property Dealing/Owning,USA,DEVM,A,L,30048079,100.0,"DevMar Equities, Inc.",United States
"Rocket Cos., Inc.",ZWIZYZ,Real Estate,Mortgage & Finance,Mortgage Banks/Real Estate Credit,USA,RKT,A,L,675705521,100.0,"Rocket Companies, Inc.",United States
"Horizon Group Properties, Inc.",HZGPPR,Real Estate,REITs,Retail REITs,USA,HGPI,A,L,390516,100.0,"Horizon Group Properties, Inc.",United States
"Lineage, Inc.",TKGWPG,Real Estate,REITs,Specialty REITs,USA,LINE,A,L,1885758986,100.0,"Lineage, Inc.",United States
UWM Holdings Corp.,TTUTKC,Real Estate,Mortgage & Finance,Mortgage Banks/Real Estate Credit,USA,UWMC,A,L,4542401,100.0,UWM Holdings Corporation,United States
Agree Realty Corp.,AGREAL,Real Estate,REITs,Retail REITs,USA,ADC,A,L,333332,100.0,Agree Realty Corporation,United States
"Sun Communities, Inc.",SUNCM,Real Estate,REITs,Residential REITs,USA,SUI,A,L,331908,100.0,"Sun Communities, Inc.",United States
Two Harbors Investment Corp.,CPTAQC,Real Estate,REITs,Mortgage REITs,USA,TWO,A,L,35879939,100.0,Two Harbors Investment Corp.,United States
"EastGroup Properties, Inc.",ICMR,Real Estate,REITs,Industrial/Office REITs,USA,EGP,A,L,268472,100.0,"EastGroup Properties, Inc.",United States
EPR Properties,ENTPRP,Real Estate,REITs,Specialty REITs,USA,EPR,A,L,171106,100.0,EPR Properties,United States
"Maxus Realty Trust, Inc.",NRT,Real Estate,REITs,Residential REITs,USA,MRTI,A,L,291486,100.0,"Maxus Realty Trust, Inc.",United States
"PGI, Inc.",PGA,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,PGAI,A,L,3670156,100.0,PGI Incorporated,United States
The First Republic Corporation Of America,FSTREP,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,FRPC,A,L,3110193,100.0,First Republic Corporation of America (The),United States
Greystone Housing Impact Investors LP,AFTE,Real Estate,Mortgage & Finance,Mortgage Banks/Real Estate Credit,USA,GHI,A,L,249348,100.0,Greystone Housing Impact Investors LP,United States
"Tiderock Cos., Inc.",BVPHRM,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,TDRK,A,L,9394909,100.0,"Tiderock Companies, Inc.",United States
"Cal-Bay International, Inc.",CALBAY,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,CBYI,A,L,1528702,100.0,"Cal Bay International, Inc.",United States
American Homes 4 Rent,AMHFRL,Real Estate,REITs,Residential REITs,USA,AMH,A,L,241397401,100.0,American Homes 4 Rent,United States
"Vaycaychella, Inc.",INNVP,Real Estate,Real Estate Services,Real Estate Agents/Brokers,USA,VAYK,A,L,30661946,100.0,Vaycaychella Inc.,United States
"Iron Mountain, Inc.",PIELE,Real Estate,REITs,Specialty REITs,USA,IRM,A,L,30292,100.0,Iron Mountain Incorporated,United States
"UMH Properties, Inc.",UNMOBH,Real Estate,REITs,Residential REITs,USA,UMH,A,L,310446,100.0,"UMH Properties, Inc.",United States
