CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Mucinno Holding, Inc.",CCRMTI,Materials,Other Materials,Stone/Slate Products,USA,MCNO,A,L,118200956,100.0,"Mucinno Holding, Inc.",United States
"UFP Industries, Inc.",UNIVFO,Materials,Building Materials,Building Materials/Products,USA,UFPI,A,L,328243,100.0,"UFP Industries, Inc.",United States
Masco Corp.,MCO,Materials,Building Materials,Building Materials/Products,USA,MAS,A,L,181478,100.0,Masco Corporation,United States
"Dow, Inc.",DOWCH,Materials,Chemicals,Chemicals,USA,DOW,A,L,9830660,100.0,Dow Inc.,United States
Northern Technologies International Corp.,NONISC,Materials,Chemicals,Basic Inorganic Chemicals,USA,NTIC,A,L,32236,100.0,Northern Technologies International Corporation,United States
Affinity Gold Corp.,SYFDS,Materials,Metals & Mining,Gold Ore Mining,USA,AFYG,A,L,34333343,100.0,Affinity Gold Corporation,United States
"Proto Labs, Inc.",PRTMCI,Materials,Plastics & Polymers,Plastics Products,USA,PRLB,A,L,890375,100.0,"Proto Labs, Inc.",United States
"Apogee Enterprises, Inc.",APOG,Materials,Building Materials,Building Materials/Products,USA,APOG,A,L,251050,100.0,"Apogee Enterprises, Inc.",United States
"Hawkins, Inc.",HWKN,Materials,Chemicals,Chemicals,USA,HWKN,A,L,277171,100.0,"Hawkins, Inc.",United States
H.B. Fuller Co.,FULH,Materials,Other Materials,Adhesives,USA,FUL,A,L,273981,100.0,H.B. Fuller Company,United States
Olin Corp.,OLINC,Materials,Chemicals,Chemicals,USA,OLN,A,L,293645,100.0,Olin Corporation,United States
Adamant DRI Processing & Minerals Group,UHFINC,Materials,Metals & Mining,Ferrous Metal Ore Mining,USA,ADMG,A,L,141255913,100.0,Adamant DRI Processing and Minerals Group,United States
Polymeric Resources Corp.,POLR,Materials,Plastics & Polymers,Synthetic Resins/Polymers,USA,PLYR,A,L,3175902,100.0,Polymeric Resources Corporation,United States
Us Global Nanospace  Inc,BAVAR,Materials,Chemicals,Chemicals,USA,USGA,A,L,2202803,100.0,"US Global Nanospace, Inc.",United States
Formation Minerals Inc.,AWULFV,Materials,Metals & Mining,Gold Ore Mining,USA,FOMI,A,L,132259623,100.0,"Formation Minerals, Inc.",United States
Tonopah Divide Mining Co,TONAPA,Materials,Metals & Mining,Mining/Quarrying,USA,TODM,A,L,6279553,100.0,Tonopah Divide Mining Co.,United States
"Valmont Industries, Inc.",VALM,Materials,Metals & Mining,Prefabricated Metal Buildings/Products,USA,VMI,A,L,163111,100.0,"Valmont Industries, Inc.",United States
U.S. Gold Corp.,DATRM,Materials,Metals & Mining,Gold Ore Mining,USA,USAU,A,L,364606463,100.0,U.S. Gold Corp.,United States
Lithium Corp.,UTAKPK,Materials,Metals & Mining,Mining/Quarrying,USA,LTUM,A,L,39636596,100.0,Lithium Corporation,United States
"Osceola Gold, Inc.",PHYXHP,Materials,Metals & Mining,Gold Ore Mining,USA,OSCI,A,L,307879481,100.0,"Osceola Gold, Inc.",United States
"Oicintra, Inc.",ADVDFS,Materials,Metals & Mining,Gold Ore Mining,USA,OICT,A,L,1021498,100.0,"Oicintra, Inc.",United States
Royal Mines & Minerals Corp.,CTRUVS,Materials,Metals & Mining,Mining/Quarrying,USA,RYMM,A,L,37822673,100.0,Royal Mines and Minerals Corp,United States
Searchlight Minerals Corp.,LCMEQT,Materials,Metals & Mining,Mining/Quarrying,USA,SRCH,A,L,1716532,100.0,Searchlight Minerals Corp.,United States
"United Resource Holdings Group, Inc.",SLVLDM,Materials,Metals & Mining,Gold Ore Mining,USA,URHG,A,L,214280340,100.0,"United Resource Holdings Group, Inc.",United States
"American Lithium Minerals, Inc.",AMLMOB,Materials,Metals & Mining,Limestone Mining/Quarrying,USA,AMLM,A,L,26467364,100.0,"American Lithium Minerals, Inc.",United States
MP Materials Corp.,DEZLJS,Materials,Metals & Mining,Rare Earth Metals,USA,MP,A,L,677172258,100.0,MP Materials Corp.,United States
"Foy-Johnston, Inc.",FOYJOH,Materials,Metals & Mining,Paints/Coatings,USA,FOYJ,A,L,3110250,100.0,Foy-Johnston Inc.,United States
Golden Star Resource Corp.,GLNST,Materials,Metals & Mining,Gold Ore Mining,USA,GLNS,A,L,29515457,100.0,Golden Star Resource Corp.,United States
South American Gold Corp.,GRSVEI,Materials,Metals & Mining,Gold Ore Mining,USA,SAGD,A,L,26477666,100.0,South American Gold Corp.,United States
USCorp.,MOVGRT,Materials,Metals & Mining,Mining/Quarrying,USA,USCS,A,L,416386,100.0,USCorp,United States
Fernhill Corp.,MRNCIN,Materials,Metals & Mining,Gold Ore Mining,USA,FERN,A,L,2533034,100.0,Fernhill Corp,United States
"Cambridge Capital Holdings, Inc.",OTSEC,Materials,Metals & Mining,Gold Ore Mining,USA,CCHI,A,L,294255,100.0,"Cambridge Capital Holdings, Inc.",United States
Rimrock Gold Corp.,PBDHPK,Materials,Metals & Mining,Gold Ore Mining,USA,RMRK,A,L,214120026,100.0,Rimrock Gold Corp.,United States
"Rival Technologies, Inc.",RIVTEC,Materials,Chemicals,Chemicals,USA,RVTI,A,L,3183988,100.0,"Rival Technologies, Inc.",United States
National Graphite Corp.,SIRVEN,Materials,Metals & Mining,Non-metallic Mineral Mining/Quarrying,USA,NGRC,A,L,37956753,100.0,National Graphite Corp.,United States
Star Alliance International Corp.,VYLVNI,Materials,Building Materials,Building Materials/Products,USA,STAL,A,L,269282742,100.0,Star Alliance International Corp.,United States
"GNCC Capital, Inc.",ZEOL,Materials,Metals & Mining,Mining/Quarrying,USA,GNCP,A,L,1038310,100.0,"GNCC Capital, Inc.",United States
