CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Rockwell Medical, Inc.",ROKMED,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,RMTI,A,L,378060,100.0,"Rockwell Medical, Inc.",United States
"ANI Pharmaceuticals, Inc.",DIASY,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,ANIP,A,L,1528824,100.0,"ANI Pharmaceuticals, Inc.",United States
"Lifecore Biomedical, Inc.",LANDCC,Healthcare,Pharmaceuticals,Drug Delivery Systems,USA,LFCR,A,L,30668,100.0,"Lifecore Biomedical, Inc.",United States
NeuroOne Medical Technologies Corp.,OSEIV,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,NMTC,A,L,412033082,100.0,NeuroOne Medical Technologies Corporation,United States
"SANUWAVE Health, Inc.",RBMENS,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,SNWV,A,L,23439877,100.0,"SANUWAVE Health, Inc.",United States
"Nuwellis, Inc.",SUNSHE,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,NUWE,A,L,12402771,100.0,"Nuwellis, Inc.",United States
"UnitedHealth Group, Inc.",UHELC,Healthcare,Healthcare Services,Health Maintenance Organizations,USA,UNH,A,L,104673,100.0,UnitedHealth Group Incorporated,United States
"PetVivo Holdings, Inc.",EOOICN,Healthcare,Medical Devices,Medical Diagnostic Equipment/Supplies,USA,PETV,A,L,256941516,100.0,"PetVivo Holdings, Inc.",United States
"Inspire Medical Systems, Inc.",IMESYU,Healthcare,Medical Devices,Diagnostic/Therapeutic Devices,USA,INSP,A,L,59661803,100.0,"Inspire Medical Systems, Inc.",United States
Solventum Corp.,TOHOWG,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,SOLV,A,L,1871945009,100.0,Solventum Corporation,United States
"CVRx, Inc.",CVRARI,Healthcare,Medical Devices,Orthopedic/Prosthetic Implants/Devices,USA,CVRX,A,L,1380491,100.0,"CVRx, Inc.",United States
"Celcuity, Inc.",HWGBSL,Healthcare,Biotech & Research,Biological Therapy,USA,CELC,A,L,254573983,100.0,Celcuity Inc.,United States
"VioQuest Pharmaceuticals, Inc.",SURGD,Healthcare,Pharmaceuticals,Biopharmaceuticals,USA,VOQP,A,L,3615274,100.0,"VioQuest Pharmaceuticals, Inc.",United States
"Tactile Systems Technology, Inc.",TCTSTI,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,TCMD,A,L,6233509,100.0,"Tactile Systems Technology, Inc.",United States
