CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Paid, Inc.",RSNTRL,Software & Technology,Software,Applications Software,USA,PAYD,A,L,414445518,100.0,"PAID, Inc.",United States
Cambex Corp.,CBEKS,Software & Technology,Hardware & Semiconductors,Computer Storage Devices,USA,CBEX,A,L,257626,100.0,Cambex Corporation,United States
"Invivyd, Inc.",ADGTHI,Software & Technology,Other Software & Technology,Biotechnology Services,USA,IVVD,A,L,677282690,100.0,"Invivyd, Inc.",United States
"Dynatrace, Inc.",HQMDPT,Software & Technology,AI & Emerging Tech,Artificial Intelligence Technologies,USA,DT,A,L,628406634,100.0,"Dynatrace, Inc.",United States
"Pegasystems, Inc.",PEGASY,Software & Technology,Software,Applications Software,USA,PEGA,A,L,350216,100.0,Pegasystems Inc.,United States
"Xilio Therapeutics, Inc.",XTHRPI,Software & Technology,Other Software & Technology,Biotechnology Services,USA,XLO,A,L,365333564,100.0,"Xilio Therapeutics, Inc.",United States
"Acrivon Therapeutics, Inc.",ACRVTH,Software & Technology,Other Software & Technology,Biotechnology Services,USA,ACRV,A,L,652690313,100.0,"Acrivon Therapeutics, Inc.",United States
"Disc Medicine, Inc.",BVMLUW,Software & Technology,Other Software & Technology,Biotechnology Services,USA,IRON,A,L,641326926,100.0,"Disc Medicine, Inc.",United States
"EyePoint Pharmaceuticals, Inc.",SUMGRO,Software & Technology,Other Software & Technology,Biotechnology Services,USA,EYPT,A,L,4481199,100.0,"EyePoint, Inc.",United States
"Werewolf Therapeutics, Inc.",WRWTHI,Software & Technology,Other Software & Technology,Biotechnology Services,USA,HOWL,A,L,560735713,100.0,"Werewolf Therapeutics, Inc.",United States
Kopin Corp.,KPNCRP,Software & Technology,Hardware & Semiconductors,Semiconductors,USA,KOPN,A,L,30594,100.0,Kopin Corporation,United States
"NetScout Systems, Inc.",FRNSFT,Software & Technology,Software,Systems Software,USA,NTCT,A,L,32039,100.0,"NetScout Systems, Inc.",United States
"Analog Devices, Inc.",ADEV,Software & Technology,Hardware & Semiconductors,Semiconductors,USA,ADI,A,L,251411,100.0,"Analog Devices, Inc.",United States
"Charles River Laboratories International, Inc.",CRIV,Software & Technology,Other Software & Technology,Biotechnology Services,USA,CRL,A,L,91093,100.0,"Charles River Laboratories International, Inc.",United States
"Symbotic, Inc.",VQUGYO,Software & Technology,AI & Emerging Tech,Artificial Intelligence Technologies,USA,SYM,A,L,247089947,100.0,Symbotic Inc.,United States
"Bridgeline Digital, Inc.",BRSOFI,Software & Technology,Software,Software,USA,BLIN,A,L,7682403,100.0,"Bridgeline Digital, Inc.",United States
"SideChannel, Inc.",NATSCC,Software & Technology,Software,Security/Privacy Software,USA,SDCH,A,L,1783718983,100.0,"SideChannel, Inc.",United States
"Amesite, Inc.",RNDUOT,Software & Technology,AI & Emerging Tech,Artificial Intelligence Technologies,USA,AMST,A,L,561794162,100.0,Amesite Inc.,United States
"Gentherm, Inc.",AMERGO,Software & Technology,Electronics,Automobile Electronics,USA,THRM,A,L,339745,100.0,Gentherm Incorporated,United States
"Stoneridge, Inc.",STNRDG,Software & Technology,Electronics,Automobile Electronics,USA,SRI,A,L,228755,100.0,"Stoneridge, Inc.",United States
Sandston Corp.,NMTRN,Software & Technology,Hardware & Semiconductors,Desktop Computers,USA,SDON,A,L,127416,100.0,Sandston Corporation,United States
"Skywater Technology, Inc.",BBJRMO,Software & Technology,Hardware & Semiconductors,Semiconductors,USA,SKYT,A,L,708778565,100.0,"SkyWater Technology, Inc.",United States
"Clearfield, Inc.",APAOP,Software & Technology,Hardware & Semiconductors,Passive Components,USA,CLFD,A,L,247156,100.0,"Clearfield, Inc.",United States
"KLDiscovery, Inc.",DHIBTK,Software & Technology,IT Services,Data Recovery Services,USA,KLDI,A,L,109000448,100.0,KLDiscovery Inc.,United States
Stratasys Ltd.,STSTST,Software & Technology,AI & Emerging Tech,3D/4D Printing Technology,USA,SSYS,A,L,34839,100.0,Stratasys Ltd.,United States
"Veritec, Inc.",VERIT,Software & Technology,Software,Applications Software,USA,VRTC,A,L,700839,100.0,"Veritec, Inc.",United States
"Digi International, Inc.",DIGII,Software & Technology,Networking & Connectivity,Wireless Area Network Technology,USA,DGII,A,L,266694,100.0,Digi International Inc.,United States
"Electronic Servitor Publication Network, Inc.",IGOUSV,Software & Technology,Software,Games Software,USA,XESP,A,L,529912039,100.0,"Electronic Servitor Publication Network, Inc.",United States
Autoscope Technologies Corp.,IMSNS,Software & Technology,Other Software & Technology,Biometrics Technology,USA,AATC,A,L,351694,100.0,Autoscope Technologies Corporation,United States
"Sezzle, Inc.",SEZZLI,Software & Technology,Electronics,Electronic Payment Systems,USA,SEZL,A,L,327783573,100.0,Sezzle Inc.,United States
"SPS Commerce, Inc.",SPSCOM,Software & Technology,Software,Supply Chain Management Software,USA,SPSC,A,L,34696,100.0,"SPS Commerce, Inc.",United States
Bio-Techne Corp.,TCHNC,Software & Technology,Other Software & Technology,Biotechnology Services,USA,TECH,A,L,189488,100.0,Bio-Techne Corporation,United States
"Table Trac, Inc.",TABTRA,Software & Technology,Software,Applications Software,USA,TBTC,A,L,3184544,100.0,"Table Trac, Inc.",United States
"SecureTech Innovations, Inc.",NIDLIH,Software & Technology,Electronics,Automobile Electronics,USA,SCTH,A,L,553160571,100.0,"SecureTech Innovations, Inc.",United States
"Jack Henry & Associates, Inc.",HENJAK,Software & Technology,Digital Services,Financial Technology,USA,JKHY,A,L,277617,100.0,"Jack Henry & Associates, Inc.",United States
"Latch, Inc.",EHPHRH,Software & Technology,Cloud & Infrastructure,Cloud Computing,USA,LTCH,A,L,702199422,100.0,"Latch, Inc.",United States
"Electric Car Co., Inc.",SCACN,Software & Technology,Electronics,Automobile Electronics,USA,ELCR,A,L,34256942,100.0,"Electric Car Company, Inc.",United States
Amdocs Ltd.,AMDCS,Software & Technology,Software,Knowledge Management Software,USA,DOX,A,L,24686,100.0,Amdocs Limited,United States
"ESCO Technologies, Inc.",ESCOEL,Software & Technology,Electronics,Industrial Electronics,USA,ESE,A,L,269960,100.0,ESCO Technologies Inc.,United States
"Nerdy, Inc.",PFIVBN,Software & Technology,Digital Services,E-learning/Educational Technology,USA,NRDY,A,L,702706192,100.0,Nerdy Inc.,United States
"Snowflake, Inc.",BKJBQF,Software & Technology,Cloud & Infrastructure,Cloud Computing,USA,SNOW,A,L,275004592,100.0,Snowflake Inc.,United States
Fair Isaac Corp.,FRIS,Software & Technology,Software,Applications Software,USA,FICO,A,L,270427,100.0,Fair Isaac Corporation,United States
"CFN Enterprises, Inc.",ACLZKP,Software & Technology,Cloud & Infrastructure,Cloud Computing,USA,CNFN,A,L,8813177,100.0,CFN Enterprises Inc.,United States
Nowigence Inc.,RQKSYN,Software & Technology,Software,Applications Software,USA,NOWG,A,L,558345056,100.0,"Nowigence, Inc.",United States
Storage Computer Corp.,STORGC,Software & Technology,Electronics,Computers/Consumer Electronics,USA,SOSO,A,L,353238,100.0,Storage Computer Corporation,United States
